'Abatis' 100mm Steel Plates	铁网100mm钢附甲板
11th Tier Overseer's Personal Effects	11级监察官的个人财产
1200mm Artillery Cannon I	1200mm加农火炮 I
1200mm Artillery Cannon I Blueprint	1200mm加农炮蓝图 I
1200mm Artillery Cannon II	1200mm加农火炮 II
1200mm Artillery Cannon II Blueprint	1200mm加农炮蓝图 II
1200mm Heavy 'Jolt' Artillery I	1200mm重型摇摆火炮 I
1200mm Heavy 'Jolt' Artillery I Blueprint	1200mm重型摇摆火炮蓝图 I
1200mm Heavy 'Scout' Artillery I	1200mm重型侦查员火炮 I
1200mm Heavy Carbine Howitzer I	1200mm重型卡宾榴弹炮 I
1200mm Heavy Gallium Cannon	1200mm重型镓金属加农炮
1200mm Heavy Prototype Artillery	1200mm尖端型原型火炮
1200mm Heavy Prototype Siege Cannon	1200mm重型尖端型会战型加农炮
125mm 'Scout' Accelerator Cannon	125mm侦查员飞速加农炮 I
125mm Carbide Railgun I	125mm碳化物磁轨炮 I
125mm Compressed Coil Gun I	125mm压缩型线圈炮 I
125mm Gatling AutoCannon I	125mm加特林自动加农炮 I
125mm Gatling AutoCannon I Blueprint	125mm加特林自动加农炮蓝图 I
125mm Gatling AutoCannon II	125mm加特林自动加农炮 II
125mm Gatling AutoCannon II Blueprint	125mm加特林自动加农炮蓝图 II
125mm Light 'Scout' Autocannon I	125mm轻型侦查员自动加农炮 I
125mm Light Carbine Repeating Cannon I	125mm轻型卡宾频射加农炮 I
125mm Light Gallium Machine Gun	125mm轻型镓金属机关炮
125mm Light Prototype Automatic Cannon	125mm轻型尖端型自动加农炮
125mm Prototype Gauss Gun	125mm尖端型高斯炮 I
125mm Railgun I	125mm磁轨炮 I
125mm Railgun I Blueprint	125mm磁轨炮蓝图 I
125mm Railgun II	125mm磁轨炮 II
125mm Railgun II Blueprint	125mm磁轨炮蓝图 II
12th Tier Overseer's Personal Effects	12级监察官的个人财产
13th Tier Overseer's Personal Effects	13级监察官的个人财产
1400mm 'Jolt' Artillery I	1400mm摇摆火炮 I
1400mm 'Jolt' Artillery I Blueprint	1400mm摇摆火炮蓝图 I
1400mm 'Scout' Artillery I	1400mm侦查员火炮 I
1400mm Carbine Howitzer I	1400mm卡宾榴弹炮 I
1400mm Gallium Cannon	1400mm镓金属加农炮
1400mm Howitzer Artillery I	1400mm榴弹炮 I
1400mm Howitzer Artillery I Blueprint	1400mm榴弹炮蓝图 I
1400mm Howitzer Artillery II	1400mm榴弹炮 II
1400mm Howitzer Artillery II Blueprint	1400mm榴弹炮蓝图 II
1400mm Prototype Siege Cannon	1400mm尖端型会战型加农炮
14th Tier Overseer's Personal Effects	14级监察官的个人财产
150mm 'Musket' Railgun	150mm茅斯卡特磁轨炮
150mm 'Musket' Railgun Blueprint	150mm茅斯卡特磁轨炮蓝图
150mm 'Scout' Accelerator Cannon	150mm侦查员飞速加农炮 I
150mm Carbide Railgun I	150mm碳化物磁轨炮 I
150mm Compressed Coil Gun I	150mm压缩型线圈炮 I
150mm Light 'Scout' Autocannon I	150mm轻型侦查员自动加农炮 I
150mm Light AutoCannon I	150mm轻型自动加农炮 I
150mm Light AutoCannon I Blueprint	150mm轻型自动加农炮蓝图 I
150mm Light AutoCannon II	150mm轻型自动加农炮 II
150mm Light AutoCannon II Blueprint	150mm轻型自动加农炮蓝图 II
150mm Light Carbine Repeating Cannon I	150mm轻型卡宾频射加农炮 I
150mm Light Gallium Machine Gun	150mm轻型镓金属机关炮
150mm Light Prototype Automatic Cannon	150mm轻型尖端型自动加农炮
150mm Prototype Gauss Gun	150mm尖端型高斯炮 I
150mm Railgun I	150mm磁轨炮 I
150mm Railgun I Blueprint	150mm磁轨炮蓝图 I
150mm Railgun II	150mm磁轨炮 II
150mm Railgun II Blueprint	150mm磁轨炮蓝图 II
15th Tier Overseer's Personal Effects	15级监察官的个人财产
1600mm Armor Plate	1600mm装甲附甲板
1600mm Crystalline Carbonide Restrained Plates	1600mm抑制型碳化晶体附甲板
1600mm Reinforced Nanofiber Plates I	1600mm强化纳米纤维附甲板 I
1600mm Reinforced Titanium Plates I	1600mm强化钛附甲板 I
1600mm Rolled Tungsten Compact Plates	1600mm紧凑型包金钨附甲板
1600mm Steel Plates I	1600mm钢附甲板 I
1600mm Steel Plates I Blueprint	1600mm钢附甲板蓝图 I
1600mm Steel Plates II	1600mm钢附甲板 II
1600mm Steel Plates II Blueprint	1600mm钢附甲板蓝图 II
16th Tier Overseer's Personal Effects	16级监察官的个人财产
17 Successful Torture Techniques	十七大成功酷刑
17th Tier Overseer's Personal Effects	17级监察官的个人财产
18th Tier Overseer's Personal Effects	18级监察官的个人财产
19th Tier Overseer's Personal Effects	19级监察官的个人财产
1=Male 2=Unisex 3=Female	1=男性 2=中性 3=女性
1=small 2=medium 3=l	1=小型  2=中型  3=大型
1MN Afterburner I	1MN加力燃烧器 I
1MN Afterburner I Blueprint	1MN加力燃烧器蓝图 I
1MN Afterburner II	1MN加力燃烧器 II
1MN Afterburner II Blueprint	1MN加力燃烧器蓝图 II
1MN Analog Booster Afterburner	1MN模拟助推加力燃烧器
1MN Analog Booster Afterburner Blueprint	1MN模拟助推加力燃烧器蓝图
1MN Civilian Afterburner	1MN民用加力燃烧器
1MN Civilian Afterburner Blueprint	1MN民用加力燃烧器蓝图
1MN Monopropellant Enduring Afterburner	单元推进持久型1MN加力燃烧器
1MN Y-S8 Compact Afterburner	Y-S8紧凑型1MN加力燃烧器
1Z-3 Subversive ECM Eruption	1Z—3颠覆性ECM爆发器
1st Tier Overseer's Personal Effects	1级监察官的个人财产
200mm 'Scout' Accelerator Cannon	200mm侦查员飞速加农炮 I
200mm Armor Plate	200mm装甲附甲板
200mm AutoCannon I	200mm自动加农炮 I
200mm AutoCannon I Blueprint	200mm自动加农炮蓝图 I
200mm AutoCannon II	200mm自动加农炮 II
200mm AutoCannon II Blueprint	200mm自动加农炮蓝图 II
200mm Carbide Railgun I	200mm碳化物磁轨炮 I
200mm Compressed Coil Gun I	200mm压缩型线圈炮 I
200mm Crystalline Carbonide Restrained Plates	200mm抑制型碳化晶体附甲板
200mm Light 'Jolt' Autocannon I	200mm轻型摇摆自动加农炮 I
200mm Light 'Jolt' Autocannon I Blueprint	200mm轻型摇摆自动加农炮蓝图 I
200mm Light 'Scout' Autocannon I	200mm轻型侦查员自动加农炮 I
200mm Light Carbine Repeating Cannon I	200mm轻型卡宾频射加农炮 I
200mm Light Gallium Machine Gun	200mm轻型镓金属机关炮
200mm Light Prototype Automatic Cannon	200mm轻型尖端型自动加农炮
200mm Prototype Gauss Gun	200mm尖端型高斯炮 I
200mm Railgun I	200mm磁轨炮 I
200mm Railgun I Blueprint	200mm磁轨炮蓝图 I
200mm Railgun II	200mm磁轨炮 II
200mm Railgun II Blueprint	200mm磁轨炮蓝图 II
200mm Reinforced Nanofiber Plates I	200mm强化纳米纤维附甲板 I
200mm Reinforced Titanium Plates I	200mm强化钛附甲板 I
200mm Rolled Tungsten Compact Plates	200mm紧凑型包金钨附甲板
200mm Steel Plates I	200mm钢附甲板 I
200mm Steel Plates I Blueprint	200mm钢附甲板蓝图 I
200mm Steel Plates II	200mm钢附甲板 II
200mm Steel Plates II Blueprint	200mm钢附甲板蓝图 II
20km Amarr Capture Point	20km艾玛争夺点
20km Caldari Capture Point	20km加达里争夺点
20km Gallente Capture Point	20km盖伦特争夺点
20km Minmatar Capture Point	20km米玛塔尔争夺点
20th Tier Overseer's Personal Effects	20级监察官的个人财产
21st Tier Overseer's Personal Effects	21级监察官的个人财产
220mm Medium 'Scout' Autocannon I	220mm中型侦查员自动加农炮 I
220mm Medium Carbine Repeating Cannon I	220mm中型卡宾频射加农炮 I
220mm Medium Gallium Machine Gun	220mm中型镓金属机关炮
220mm Medium Prototype Automatic Cannon	220mm中型尖端型自动加农炮
220mm Vulcan AutoCannon I	220mm火神自动加农炮 I
220mm Vulcan AutoCannon I Blueprint	220mm火神自动加农炮蓝图 I
220mm Vulcan AutoCannon II	220mm火神自动加农炮 II
220mm Vulcan AutoCannon II Blueprint	220mm火神自动加农炮蓝图 II
22nd Tier Overseer's Personal Effects	22级监察官的个人财产
23rd Tier Overseer's Personal Effects	23级监察官的个人财产
250,000 Skill Points	250,000技能点
25000mm Armor Plate	25000mm装甲附甲板
25000mm Crystalline Carbonide Restrained Plates	25000mm抑制型碳化晶体附甲板
25000mm Crystalline Carbonide Restrained Plates Blueprint	25000mm抑制型碳化晶体附甲板蓝图
25000mm Rolled Tungsten Compact Plates	25000mm紧凑型包金钨附甲板
25000mm Rolled Tungsten Compact Plates Blueprint	25000mm紧凑型包金钨附甲板蓝图
25000mm Steel Plates I	25000mm钢附甲板 I
25000mm Steel Plates I Blueprint	25000mm钢附甲板蓝图 I
25000mm Steel Plates II	25000mm钢附甲板 II
25000mm Steel Plates II Blueprint	25000mm钢附甲板蓝图 II
250mm 'Flintlock' Railgun	250mm火石磁轨炮
250mm 'Flintlock' Railgun Blueprint	250mm火石磁轨炮蓝图
250mm 'Scout' Accelerator Cannon	250mm侦查员飞速加农炮 I
250mm Carbide Railgun I	250mm碳化物磁轨炮 I
250mm Compressed Coil Gun I	250mm压缩型线圈炮 I
250mm Light 'Jolt' Artillery I	250mm轻型摇摆火炮 I
250mm Light 'Jolt' Artillery I Blueprint	250mm轻型摇摆火炮蓝图 I
250mm Light 'Scout' Artillery I	250mm轻型侦查员火炮 I
250mm Light Artillery Cannon I	250mm轻型加农炮 I
250mm Light Artillery Cannon I Blueprint	250mm轻型加农炮蓝图 I
250mm Light Artillery Cannon II	250mm轻型加农炮 II
250mm Light Artillery Cannon II Blueprint	250mm轻型加农炮蓝图 II
250mm Light Carbine Howitzer I	250mm轻型卡宾榴弹炮 I
250mm Light Gallium Cannon	250mm轻型镓金属加农炮
250mm Light Prototype Siege Cannon	250mm轻型尖端型会战型加农炮
250mm Prototype Gauss Gun	250mm尖端型高斯炮 I
250mm Railgun I	250mm磁轨炮 I
250mm Railgun I Blueprint	250mm磁轨炮蓝图 I
250mm Railgun II	250mm磁轨炮 II
250mm Railgun II Blueprint	250mm磁轨炮蓝图 II
280mm 'Jolt' Artillery I	280mm摇摆火炮 I
280mm 'Jolt' Artillery I Blueprint	280mm摇摆火炮蓝图 I
280mm 'Scout' Artillery I	280mm侦查员火炮 I
280mm Carbine Howitzer I	280mm卡宾榴弹炮 I
280mm Gallium Cannon	280mm镓金属加农炮
280mm Howitzer Artillery I	280mm榴弹炮 I
280mm Howitzer Artillery I Blueprint	280mm榴弹炮蓝图 I
280mm Howitzer Artillery II	280mm榴弹炮 II
280mm Howitzer Artillery II Blueprint	280mm榴弹炮蓝图 II
280mm Prototype Siege Cannon	280mm尖端型会战型加农炮
2nd Tier Overseer's Personal Effects	2级监察官的个人财产
30 Day Pilot's License Extension (PLEX)	飞行员执照
300 Aurum Token	300AUR兑换券
30km Amarr Capture Point	30km艾玛争夺点
30km Caldari Capture Point	30km加达里争夺点
30km Gallente Capture Point	30km盖伦特争夺点
30km Minmatar Capture Point	30km米玛塔尔争夺点
350mm 'Scout' Accelerator Cannon	350mm侦查员飞速加农炮 I
350mm Carbide Railgun I	350mm碳化物磁轨炮 I
350mm Compressed Coil Gun I	350mm压缩型线圈炮 I
350mm Prototype Gauss Gun	350mm尖端型高斯炮 I
350mm Railgun I	350mm磁轨炮 I
350mm Railgun I Blueprint	350mm磁轨炮蓝图 I
350mm Railgun II	350mm磁轨炮 II
350mm Railgun II Blueprint	350mm磁轨炮蓝图 II
3rd Tier Overseer's Personal Effects	3级监察官的个人财产
400mm Armor Plate	400mm装甲附甲板
400mm Crystalline Carbonide Restrained Plates	400mm抑制型碳化晶体附甲板
400mm Reinforced Nanofiber Plates I	400mm强化纳米纤维附甲板 I
400mm Reinforced Titanium Plates I	400mm强化钛附甲板 I
400mm Rolled Tungsten Compact Plates	400mm紧凑型包金钨附甲板
400mm Steel Plates I	400mm钢附甲板 I
400mm Steel Plates I Blueprint	400mm钢附甲板蓝图 I
400mm Steel Plates II	400mm钢附甲板 II
400mm Steel Plates II Blueprint	400mm钢附甲板蓝图 II
40km Capture Point	40千米争夺点
41F Veiled Targeting Unit	41F隐蔽锁定元件
425mm 'Popper' Railgun	425mm纽扣磁轨炮
425mm 'Popper' Railgun Blueprint	425mm纽扣磁轨炮蓝图
425mm 'Scout' Accelerator Cannon	425mm侦查员飞速加农炮 I
425mm AutoCannon I	425mm自动加农炮 I
425mm AutoCannon I Blueprint	425mm自动加农炮蓝图 I
425mm AutoCannon II	425mm自动加农炮 II
425mm AutoCannon II Blueprint	425mm自动加农炮蓝图 II
425mm Carbide Railgun I	425mm碳化物磁轨炮 I
425mm Compressed Coil Gun I	425mm压缩型线圈炮 I
425mm Medium 'Jolt' Autocannon I	425mm中型摇摆自动加农炮 I
425mm Medium 'Jolt' Autocannon I Blueprint	425mm 中型摇摆加农炮蓝图 I
425mm Medium 'Scout' Autocannon I	425mm中型侦查员自动加农炮 I
425mm Medium Carbine Repeating Cannon I	425mm中型卡宾频射加农炮 I
425mm Medium Gallium Machine Gun	425mm中型镓金属机关炮
425mm Medium Prototype Automatic Cannon	425mm中型尖端型自动加农炮
425mm Prototype Gauss Gun	425mm尖端型高斯炮 I
425mm Railgun I	425mm磁轨炮 I
425mm Railgun I Blueprint	425mm磁轨炮蓝图 I
425mm Railgun II	425mm磁轨炮 II
425mm Railgun II Blueprint	425mm磁轨炮蓝图 II
4th Tier Overseer's Personal Effects	4级监察官的个人财产
5/10 DED Angel Big Boss	5/10 DED 天使 大首领
500 Aurum Token	500AUR代币
50000MN Cold-Gas Enduring Microwarpdrive	冷气持久型50000MN微型跃迁推进器
50000MN Cold-Gas Enduring Microwarpdrive Blueprint	冷气持久型50000MN微型跃迁推进器蓝图
50000MN Microwarpdrive I	50000MN微型跃迁推进器 I
50000MN Microwarpdrive I Blueprint	50000MN微型跃迁推进器蓝图 I
50000MN Microwarpdrive II	50000MN微型跃迁推进器 II
50000MN Microwarpdrive II Blueprint	50000MN微型跃迁推进器蓝图 II
50000MN Quad LiF Restrained Microwarpdrive	四联氟化锂抑制型50000MN微型跃迁推进器
50000MN Quad LiF Restrained Microwarpdrive Blueprint	四联氟化锂抑制型50000MN微型跃迁推进器蓝图
50000MN Y-T8 Compact Microwarpdrive	Y-T8紧凑型50000MN微型跃迁推进器
50000MN Y-T8 Compact Microwarpdrive Blueprint	Y-T8紧凑型50000MN微型跃迁推进器蓝图
500MN Cold-Gas Enduring Microwarpdrive	冷气持久型500MN微型跃迁推进器
500MN Digital Booster Microwarpdrive	500MN数字助推微型跃迁推进器
500MN Digital Booster Rockets Blueprint	500MN数字助推火箭蓝图
500MN Microwarpdrive I	500MN微型跃迁推进器 I
500MN Microwarpdrive I Blueprint	500MN微型跃迁推进器蓝图 I
500MN Microwarpdrive II	500MN微型跃迁推进器 II
500MN Microwarpdrive II Blueprint	500MN微型跃迁推进器蓝图 II
500MN Quad LiF Restrained Microwarpdrive	四联氟化锂抑制型500MN微型跃迁推进器
500MN Y-T8 Compact Microwarpdrive	Y-T8紧凑型500MN微型跃迁推进器
50MN Cold-Gas Enduring Microwarpdrive	冷气持久型50MN微型跃迁推进器
50MN Digital Booster Microwarpdrive	50MN数字助推微型跃迁推进器
50MN Digital Booster Microwarpdrive Blueprint	50MN数字助推微型跃迁推进器蓝图
50MN Microwarpdrive I	50MN微型跃迁推进器 I
50MN Microwarpdrive I Blueprint	50MN微型跃迁推进器蓝图 I
50MN Microwarpdrive II	50MN微型跃迁推进器 II
50MN Microwarpdrive II Blueprint	50MN微型跃迁推进器蓝图 II
50MN Quad LiF Restrained Microwarpdrive	四联氟化锂抑制型50MN微型跃迁推进器
50MN Y-T8 Compact Microwarpdrive	Y-T8紧凑型50MN微型跃迁推进器
50km Capture Point	50km争夺点
50mm Reinforced Crystalline Carbonide Plates I	50mm强化碳化晶体附甲板 I
50mm Reinforced Nanofiber Plates I	50mm强化纳米纤维附甲板 I
50mm Reinforced Rolled Tungsten Plates I	50mm强化包金钨附甲板 I
50mm Reinforced Titanium Plates I	50mm强化钛附甲板 I
50mm Steel Plates I	50mm钢附甲板 I
50mm Steel Plates I Blueprint	50mm钢附甲板蓝图 I
50mm Steel Plates II	50mm钢附甲板 II
50mm Steel Plates II Blueprint	50mm钢附甲板蓝图 II
5MN Cold-Gas Enduring Microwarpdrive	冷气持久型5MN微型跃迁推进器
5MN Digital Booster Microwarpdrive	5MN数字助推微型跃迁推进器
5MN Digital Booster Microwarpdrive Blueprint	5MN数字助推微型跃迁推进器蓝图
5MN Microwarpdrive I	5MN微型跃迁推进器 I
5MN Microwarpdrive I Blueprint	5MN微型跃迁推进器蓝图 I
5MN Microwarpdrive II	5MN微型跃迁推进器 II
5MN Microwarpdrive II Blueprint	5MN微型跃迁推进器蓝图 II
5MN Quad LiF Restrained Microwarpdrive	四联氟化锂抑制型5MN微型跃迁推进器
5MN Y-T8 Compact Microwarpdrive	Y-T8紧凑型5MN微型跃迁推进器
5a Prototype Shield Support I	5a尖端型护盾支援设备 I
5th Tier Overseer's Personal Effects	5级监察官的个人财产
60km Capture Point	60km争夺点
650mm Artillery Cannon I	650mm加农炮 I
650mm Artillery Cannon I Blueprint	650mm加农炮蓝图 I
650mm Artillery Cannon II	650mm加农炮 II
650mm Artillery Cannon II Blueprint	650mm加农炮蓝图 II
650mm Medium 'Jolt' Artillery I	650mm中型摇摆火炮 I
650mm Medium 'Jolt' Artillery I Blueprint	650mm中型摇摆火炮蓝图 I
650mm Medium 'Scout' Artillery I	650mm中型侦查员火炮 I
650mm Medium Carbine Howitzer I	650mm中型卡宾榴弹炮 I
650mm Medium Gallium Cannon	650mm中型镓金属加农炮
650mm Medium Prototype Siege Cannon	650mm中型尖端型会战型加农炮
6th Tier Overseer's Personal Effects	6级监察官的个人财产
70km Capture Point	70km争夺点
720mm 'Jolt' Artillery I	720mm摇摆火炮 I
720mm 'Jolt' Artillery I Blueprint	720mm摇摆火炮蓝图 I
720mm 'Probe' Artillery I	720mm探针火炮 II
720mm 'Scout' Artillery I	720mm侦查员火炮 I
720mm Carbine Howitzer I	720mm卡宾榴弹炮 I
720mm Cordite Howitzer I	720mmCordIte 榴弹炮 II
720mm Gallium Cannon	720mm镓金属加农炮
720mm Howitzer Artillery I	720mm榴弹炮 I
720mm Howitzer Artillery I Blueprint	720mm榴弹炮蓝图 I
720mm Howitzer Artillery II	720mm榴弹炮 II
720mm Howitzer Artillery II Blueprint	720mm榴弹炮蓝图 II
720mm Prototype Siege Cannon	720mm尖端型会战型加农炮
75mm 'Scout' Accelerator Cannon	75mm侦查员飞速加农炮 I
75mm Carbide Railgun I	75mm碳化物磁轨炮 I
75mm Compressed Coil Gun I	75mm压缩型线圈炮 I
75mm Gatling Rail I	75mm加特林磁轨炮 I
75mm Gatling Rail I Blueprint	75mm加特林磁轨炮蓝图 I
75mm Gatling Rail II	75mm加特林磁轨炮 II
75mm Gatling Rail II Blueprint	75mm加特林磁轨炮蓝图 II
75mm Prototype Gauss Gun	75mm尖端型高斯炮 I
7th Fleet Data Fragment	第七舰队数据片段
7th Fleet Mobile Command Post	第七舰队移动指挥站
7th Tier Overseer's Personal Effects	7级监察官的个人财产
